BATTERY,1,"BT1"
0.1uF,4,"C1 C2 C4 C5",311-1141-1-ND,Yageo,CC0805KRX7R8BB104,1
10uF,1,"C3",445-5984-1-ND,TDK Corporation,C2012X5R1E106K125AB,1
LED,1,"D1",754-1141-1-ND,Kingbright Company,APT3216SGC,1
LED,1,"D2",754-1142-1-ND,Kingbright Company,APT3216SRCPRV,1
CONN_2,12,"P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12"
NMOS+PMOS,1,"Q1",FDC6333CCT-ND,Fairchild Semiconductor,FDC6333C,1
N-CH,2,"Q2 Q3",568-6587-1-ND,NXP Semiconductors,BUK962R8-30B,118,1
330,9,"R1 R2 R3 R4 R5 R6 R7 R8 R11",P330ACT-ND,Panasonic Electronic Components,ERJ-6GEYJ331V,1
330k,1,"R10",P330KCCT-ND,Panasonic Electronic Components,ERJ-6ENF3303V,1
649k,1,"R9",P649KCCT-ND,Panasonic Electronic Components,ERJ-6ENF6493V,1
DPDT,1,"S1",EG1940-ND,E-Switch,EG2207,1
LM2937,1,"U1",LM2937IMP-3.3/NOPBCT-ND,Texas Instruments,LM2937IMP-3.3/NOPB,1
74LVC1G374,1,"U2",296-18588-1-ND,Texas Instruments,SN74LVC1G373DBVR,1
XBEE,2,"XB1",S5751-10-ND,Sullins Connector Solutions,NPPN101BFCN-RC,2
